"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage"
"C4170","5","1022","43","0","2014","1","","San Antonio-New Braunfels, TX MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",558,20451,20452,20666,372742944,148525035,5351202,1397,"",0.77,1.13,1.13,1.13,0.95,0.96,1.29,0.84
"C4170","5","1022","43","0","2014","2","","San Antonio-New Braunfels, TX MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",555,21246,21405,21260,344183268,22596309,776544,1243,"",0.75,1.16,1.17,1.16,1.04,0.72,1.16,0.89
"C4170","5","1022","43","0","2014","3","","San Antonio-New Braunfels, TX MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",558,21402,21300,21244,333921021,15801709,510209,1205,"",0.75,1.15,1.15,1.17,0.91,0.84,1.13,0.79
"C4170","5","1023","43","0","2014","1","","San Antonio-New Braunfels, TX MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",4797,73571,73819,74016,1613792579,550620061,13156959,1682,"",1.18,1.46,1.45,1.45,1.33,1.36,1.40,0.91
"C4170","5","1023","43","0","2014","2","","San Antonio-New Braunfels, TX MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",4810,74515,75018,75844,1034220908,89498655,2311589,1059,"",1.18,1.46,1.46,1.47,1.28,1.04,1.46,0.87
"C4170","5","1023","43","0","2014","3","","San Antonio-New Braunfels, TX MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",4833,76045,76210,76039,1116752017,65160054,1684075,1129,"",1.18,1.45,1.46,1.48,1.34,1.23,1.60,0.92
"C4170","5","1024","43","0","2014","1","","San Antonio-New Braunfels, TX MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",7755,111413,113133,113871,1500944139,763869708,21779277,1024,"",0.95,0.91,0.91,0.91,0.79,0.87,0.94,0.87
"C4170","5","1024","43","0","2014","2","","San Antonio-New Braunfels, TX MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",7799,116321,116335,117014,1426086902,268074957,6969220,941,"",0.95,0.92,0.91,0.91,0.82,1.02,1.09,0.90
"C4170","5","1024","43","0","2014","3","","San Antonio-New Braunfels, TX MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",7874,116971,117984,117566,1422192444,181453555,4655612,931,"",0.95,0.90,0.91,0.91,0.80,1.00,1.02,0.88
"C4170","5","1025","43","0","2014","1","","San Antonio-New Braunfels, TX MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",7692,134008,135267,136130,1332353086,697429027,13813076,758,"",1.05,0.99,0.99,0.99,1.01,1.51,1.47,1.02
